Species_name	min_genome_size	max_genome_size	min_gc_content	max_gc_content
afumigatus	27355096	33400178	0.368275467534426	0.523484368728285
bcereus	3639192	6994700	0.320035117360397	0.529688222542354
borrelia	1138927	1798358	0.252952500488074	0.297806586288338
bsubtilis	3800409	4462859	0.327488096036544	0.49842489463703
efaecalis	2603681	3688339	0.332327639349304	0.489093927210164
hinfluenzae	1688785	2105931	0.364886026645535	0.491676781085558
paeruginosa	5287059	7756224	0.479896454674524	0.68605510128337
sagalactiae	1790578	2462100	0.338990778508745	0.42
scanis	2045931	2408692	0.383770076652795	0.398601938655298
sdysgalactiae	2015589	2632962	0.354343283093701	0.417870298306446
spyogenes	1327684	2019649	0.347995691347301	0.476967947855035
xfastidiosa	2387314	2927031	0.467476010247687	0.567554150698163
